title	type	genres	releaseYear	imdbId	imdbAverageRating	imdbNumVotes	availableCountries
Four Rooms	movie	Comedy	1995.0	tt0113101	6.7	112662.0	DE
Forrest Gump	movie	Drama, Romance	1994.0	tt0109830	8.8	2321082.0	AU, CA, DE, US
American Beauty	movie	Drama	1999.0	tt0169547	8.3	1230421.0	AT, CH, DE, FR, GB, IE, IT
Citizen Kane	movie	Drama, Mystery	1941.0	tt0033467	8.3	474011.0	DE, GB
Metropolis	movie	Drama, Sci-Fi	1927.0	tt0017136	8.3	190206.0	GB
Kill Bill: Vol. 1	movie	Action, Crime, Thriller	2003.0	tt0266697	8.2	1223453.0	BR, CL, CO, MX
Apocalypse Now	movie	Drama, Mystery, War	1979.0	tt0078788	8.4	726177.0	DE
Unforgiven	movie	Drama, Western	1992.0	tt0105695	8.2	444499.0	US
Eternal Sunshine of the Spotless Mind	movie	Drama, Romance, Sci-Fi	2004.0	tt0338013	8.3	1106519.0	AU
Amores Perros	movie	Drama, Thriller	2000.0	tt0245712	8.0	256819.0	IN, US
12 Monkeys	movie	Mystery, Sci-Fi, Thriller	1995.0	tt0114746	8.0	656233.0	AU
Talk to Her	movie	Drama, Mystery, Romance	2002.0	tt0287467	7.9	118809.0	DE
Million Dollar Baby	movie	Drama, Sport	2004.0	tt0405159	8.1	733569.0	DE
Billy Elliot	movie	Drama, Music	2000.0	tt0249462	7.7	146041.0	AU
War of the Worlds	movie	Action, Adventure, Sci-Fi	2005.0	tt0407304	6.5	483328.0	CA, US
Miami Vice	movie	Action, Crime, Drama	2006.0	tt0430357	6.1	125950.0	AU, US
Open Water	movie	Adventure, Drama, Horror	2003.0	tt0374102	5.8	57377.0	IN
Indiana Jones and the Raiders of the Lost Ark	movie	Action, Adventure	1981.0	tt0082971	8.4	1055225.0	AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE
Indiana Jones and the Temple of Doom	movie	Action, Adventure	1984.0	tt0087469	7.5	543716.0	AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, VE
Dirty Dancing	movie	Drama, Music, Romance	1987.0	tt0092890	7.1	263669.0	IN
Indiana Jones and the Last Crusade	movie	Action, Adventure	1989.0	tt0097576	8.2	824759.0	AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE
Beverly Hills Cop	movie	Action, Comedy, Crime	1984.0	tt0086960	7.4	220029.0	US
Beverly Hills Cop II	movie	Action, Comedy, Crime	1987.0	tt0092644	6.6	141231.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Gladiator	movie	Action, Adventure, Drama	2000.0	tt0172495	8.5	1681776.0	AU, CA, US
All About My Mother	movie	Comedy, Drama, Romance	1999.0	tt0185125	7.8	104874.0	DE
Lock, Stock and Two Smoking Barrels	movie	Action, Comedy, Crime	1998.0	tt0120735	8.1	626158.0	BR, CL, CO, IN, MX
Léon: The Professional	movie	Action, Crime, Drama	1994.0	tt0110413	8.5	1275810.0	DE
Taxi Driver	movie	Crime, Drama	1976.0	tt0075314	8.2	950914.0	US
Run Lola Run	movie	Action, Crime, Thriller	1998.0	tt0130827	7.6	210630.0	DE, GB
Back to the Future	movie	Adventure, Comedy, Sci-Fi	1985.0	tt0088763	8.5	1343890.0	AU
Snatch	movie	Comedy, Crime	2000.0	tt0208092	8.2	928599.0	AU, US
Three Colors: Blue	movie	Drama, Music, Mystery	1993.0	tt0108394	7.8	112909.0	DE
Three Colors: White	movie	Comedy, Drama, Romance	1994.0	tt0111507	7.6	81382.0	DE
Three Colors: Red	movie	Drama, Mystery, Romance	1994.0	tt0111495	8.1	112038.0	DE
Scarface	movie	Crime, Drama	1983.0	tt0086250	8.3	940920.0	AU
Italian for Beginners	movie	Comedy, Drama, Romance	2000.0	tt0243862	7.0	14055.0	DE
The Untouchables	movie	Crime, Drama, Thriller	1987.0	tt0094226	7.8	337279.0	US
O Brother, Where Art Thou?	movie	Comedy, Crime, Drama	2000.0	tt0190590	7.7	336726.0	DE
Groundhog Day	movie	Comedy, Drama, Fantasy	1993.0	tt0107048	8.0	700020.0	DE
Bad Education	movie	Crime, Drama	2004.0	tt0275491	7.4	64201.0	DE
Donnie Darko	movie	Drama, Mystery, Sci-Fi	2001.0	tt0246578	8.0	867116.0	CA, DE, US
Brokeback Mountain	movie	Drama, Romance	2005.0	tt0388795	7.7	393589.0	AU, IT
Wings of Desire	movie	Drama, Fantasy, Romance	1987.0	tt0093191	7.9	79237.0	DE, GB
Crouching Tiger, Hidden Dragon	movie	Action, Adventure, Drama	2000.0	tt0190332	7.9	284942.0	DE, GB
The 400 Blows	movie	Crime, Drama	1959.0	tt0053198	8.0	129902.0	DE, GB
48 Hrs.	movie	Action, Comedy, Crime	1982.0	tt0083511	6.9	87734.0	AT, CH, DE, FR, GB, IE, IT, US
Star Trek: The Motion Picture	movie	Adventure, Mystery, Sci-Fi	1979.0	tt0079945	6.4	98276.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Lost in Translation	movie	Comedy, Drama	2003.0	tt0335266	7.7	502579.0	AU
